Source,FeatureID,Alt name,Constr,Period,Subperiod,BackupID,LocShort,LocLong
B1.P.144a,MU-AS0001e,,"rubble joined with lime, lined with opus reticulatum",Roman,"Phase 1, Phase 2",ddab6be29e6059b8e148b61efe563993,"C.IV.16; C.V.4","C.IV.16; C.V.4"
B1.P.144a,MU-AS0002e,,"rubble joined with lime, lined with opus reticulatum",Roman,"Phase 1, Phase 2",0749a68ad587205a85a23df9fa3906e3,"C.IV.11,12","C.IV.11; C.IV.12"
"B1.P.144a (assumed S side under later wall is parallel to N side; assumed E side abutting MU-AS0018r)",MU-AR0001e,,opus quadratum,Roman,"Phase 1, Phase 2",e4cec11cf00a328ae439bdfdbf415fcc,"C.IV.11,14,15","C.IV.11; C.IV.14; C.IV.15"
B1.P.144a (assume SE corner continues under later wall),MU-FA0002e,,opus quadratum,Roman,"Phase 1, Phase 2",d9a02f3d7fd6c1489b044d1aa6a1b05f,C.IV.14,C.IV.14
B1.P.144a,MU-FA0001e,,opus reticulatum,Roman,"Phase 1, Phase 2",be60f296a710d05352ece541657e478c,"D.V.5,9,10","D.V.5; D.V.9; D.V.10"
GD1980.P.320,MU-AS0003e,,"rubble joined with lime, lined with opus reticulatum",Roman,"Phase 1, Phase 2",ff7460c2111525f8e4dd0a0c87fd7d0c,"C.IV.7,11","C.IV.7; C.IV.11"
GD1980.P.320 (assumed construction identical to southwest apses),MU-AS0004e,,"rubble joined with lime, lined with opus reticulatum",Roman,"Phase 1, Phase 2",51095ae6a365fe7714e3b19948345ed8,"C.IV.7,8","C.IV.7; C.IV.8"
"GD1980.P.320 (assumed W side separated from adjacent feature in map, which appears to be rudus in Gros and Deneauve 1980: 322; assumed construction identical to MU-AS0003e)",MU-AS0005e,,"rubble joined with lime, lined with opus reticulatum",Roman,"Phase 1, Phase 2",db0faac37bcce4fd610bdc82bc7c7623,"D.III.14,15","D.III.14; D.III.15"
B3.P.064a,MU-AR0007e,,opus quadratum,Roman,Phase 2,403492b40e4bd9a0067042eb9c94b0d4,"L.VI.4,8; M.VI.1,5","L.VI.4; L.VI.8; M.VI.1; M.VI.5"
B3.P.064a,MU-AR0008e,,opus quadratum,Roman,Phase 2,7578a211c4ffdd35ed78de4de04fe0f2,M.VI.9,M.VI.9
B3.P.064a,MU-AR0009e,,opus quadratum,Roman,Phase 2,c18bc7c386f3ddad236bef77438a05c8,"M.VI.5,6,9,10","M.VI.5; M.VI.6; M.VI.9; M.VI.10"
B3.P.064a,MU-AR0010e,,opus quadratum,Roman,Phase 2,2c87c8d46065ede2e961c32f18af21fb,"M.VI.13,14,15","M.VI.13; M.VI.14; M.VI.15"
B3.P.064a,MU-AR0011e,,opus quadratum,Roman,Phase 2,5a3ac7c939c38b8cd5a3238189aac2ce,"M.VII.2,3,6","M.VII.2; M.VII.3; M.VII.6"
GD1980.P.320 (type is implied in description),RU-0001e,,,Roman,"Phase 1, Phase 2",8d7210f84746c21ad488d456cb5002c6,"C.IV.3,7","C.IV.3; C.IV.7"
GD1980.P.320 (type is implied in description),RU-0002e,,,Roman,"Phase 1, Phase 2",7bc96a6ab6b27044472962b29f21c87a,"C.III.15,16; C.IV.3,4","C.III.15; C.III.16; C.IV.3; C.IV.4"
GD1980.P.320,MU-AS0013r,,"rubble joined with lime, lined with opus reticulatum",Roman,Phase 1,df497b3decc43ec9048acd38ebe5d976,"D.V.5,9","D.V.5; D.V.9"
GD1980.P.320,MU-AS0015r,,"rubble joined with lime, lined with opus reticulatum",Roman,"Phase 1, Phase 2",ea42eb0d8d56e86e3ee2b4554115de84,C.V.4,C.V.4
GD1980.P.320,MU-AS0018r,,"rubble joined with lime, lined with opus reticulatum",Roman,"Phase 1, Phase 2",98cf5c78c43ea2952e7f35dd082c8619,C.IV.11,C.IV.11
GD1980.P.320 (assumed S side parallel to N side and contiguous with MU-AS0016r,MU-AR0017r,,opus quadratum,Roman,Phase 1,8103b024ff874b5bb3917689c0cc25cc,"C.IV.15; C.V.3","C.IV.15; C.V.3"
GD1980.P.320,MU-AR0016r,,opus quadratum,Roman,Phase 1,1d3e5c5cf59020978d585c38f235a73d,"C.V.3,4","C.V.3; C.V.4"
GD1980.P.320,MU-AR0015r,,opus quadratum,Roman,Phase 1,81cdab27437429c9d32b8c4d4819c016,"C.V.7,8","C.V.7; C.V.8"
B1.P.168a-1,MU-AR0014r,,opus quadratum,Roman,Phase 1,231707902430bd6f6cf637cc2bafa955,"C.V.12; D.V.5,9","C.V.12; D.V.5; D.V.9"
Assume same size and orientation as MU-FA0002e,MU-FA0010r,,opus quadratum,Roman,Phase 1,4525c926b0178ca33683f64d5a833ea6,"C.IV.14,15; C.V.2,3","C.IV.14; C.IV.15; C.V.2; C.V.3"
Assume same size and orientation as MU-FA0002e,MU-FA0009r,,opus quadratum,Roman,Phase 1,a20aa3bdfe741023506d88ebcf572c1a,"C.V.3,7","C.V.3; C.V.7"
Assume same size and orientation as MU-FA0002e,MU-FA0008r,,opus quadratum,Roman,Phase 1,5841c28f06988580a9e811801d92f247,"C.V.7,8","C.V.7; C.V.8"
"Assume same size and orientation as MU-FA0002e, but truncated as in B1.P.168a-1",MU-FA0007r,,opus quadratum,Roman,Phase 1,6c756b55c8613ae8415e314decbe0cb2,C.V.12,C.V.12
B1.P.168a-1,MU-AR0018r,,opus quadratum,Roman,"Phase 1, Phase 2",ca51ae8ca344a1a6f65f78e7dcdca723,"C.IV.10,11","C.IV.10; C.IV.11"
B1.P.168a-1,MU-FA0011r,,opus quadratum,Roman,"Phase 1, Phase 2",b4dc2b30823cfc213a8659f55f00b2e5,C.IV.10,C.IV.10
